
Integration time [ms]:   0.300
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 1906252U1
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 161.30;  314.892;  271.207;  271.637; 0.00000
 161.90;  282.238;  265.524;  261.712; 0.00000
 162.51;  259.937;  259.038;  260.433; 0.19098
 163.11;  258.351;  265.693;  251.834; 0.00000
 163.71;  273.313;  276.696;  266.803; 0.00000
 164.31;  293.314;  294.270;  273.488; 0.00000
 164.91;  287.914;  288.393;  287.410; 0.00000
 165.52;  265.118;  277.299;  279.261; 5.00000
 166.12;  246.606;  271.979;  273.718; 5.00000
 166.72;  250.650;  272.971;  259.755; 0.00000
 167.32;  284.262;  271.656;  271.040; 0.00000
 167.93;  284.426;  261.266;  267.518;-0.56874
 168.53;  283.861;  254.112;  260.296;-0.68225
 169.13;  271.481;  264.427;  257.261; 0.00000
 169.73;  292.572;  271.677;  266.351; 0.00000
 170.33;  312.664;  291.614;  320.561; 0.13835
 170.94;  324.953;  317.756;  347.746; 0.61980
 171.54;  335.631;  335.278;  387.239; 2.16836
 172.14;  338.250;  338.926;  375.538; 5.00000
 172.74;  333.577;  324.358;  373.181; 0.72391
 173.34;  329.955;  319.589;  355.569; 0.54046
 173.95;  330.648;  309.596;  343.923; 0.21234
 174.55;  332.953;  318.289;  355.228; 0.40123
 175.15;  337.879;  320.689;  367.155; 0.43188
 175.75;  336.931;  322.370;  380.195; 0.59891
 176.35;  348.746;  332.415;  382.036; 0.48265
 176.95;  344.919;  327.740;  392.907; 0.57903
 177.56;  351.363;  327.608;  398.355; 0.47396
 178.16;  341.989;  316.738;  399.298; 0.51449
 178.76;  331.866;  316.306;  398.487; 0.72277
 179.36;  335.076;  310.874;  401.343; 0.57265
 179.96;  340.893;  304.800;  395.813; 0.40168
 180.56;  358.373;  308.938;  392.969; 0.23040
 181.17;  374.159;  318.009;  403.448; 0.18230
 181.77;  386.548;  318.897;  417.181; 0.16221
 182.37;  387.150;  306.653;  404.111; 0.08304
 182.97;  404.495;  319.309;  413.789; 0.04497
 183.57;  419.991;  323.525;  427.944; 0.03440
 184.17;  450.494;  336.736;  473.104; 0.07873
 184.78;  444.651;  316.624;  484.587; 0.11791
 185.38;  451.223;  315.012;  504.833; 0.14413
 185.98;  463.340;  315.783;  504.638; 0.10717
 186.58;  468.476;  316.598;  510.449; 0.10597
 187.18;  464.364;  313.002;  491.678; 0.07205
 187.78;  462.084;  324.256;  526.070; 0.16561
 188.38;  482.842;  331.840;  541.159; 0.14183
 188.98;  501.549;  337.804;  574.199; 0.15947
 189.59;  505.902;  332.575;  567.529; 0.13212
 190.19;  505.447;  326.870;  580.708; 0.15273
 190.79;  507.665;  326.914;  573.939; 0.13566
 191.39;  496.994;  317.159;  564.285; 0.13805
 191.99;  483.423;  322.498;  545.363; 0.14142
 192.59;  474.000;  317.307;  539.929; 0.15252
 193.19;  458.094;  313.765;  525.712; 0.16687
 193.79;  457.654;  325.164;  530.280; 0.18981
 194.39;  448.063;  328.250;  517.658; 0.19890
 195.00;  438.237;  327.216;  511.139; 0.21923
 195.60;  411.816;  305.566;  480.732; 0.21712
 196.20;  386.874;  304.088;  469.473; 0.30054
 196.80;  392.733;  305.278;  453.989; 0.23056
 197.40;  392.250;  313.686;  455.186; 0.25554
 198.00;  407.174;  320.693;  452.457; 0.18287
 198.60;  404.674;  317.270;  442.943; 0.15771
 199.20;  390.260;  312.435;  427.513; 0.16987
 199.80;  372.189;  303.957;  416.753; 0.21831
 200.40;  352.633;  299.492;  396.868; 0.26302
 201.00;  344.180;  293.841;  371.434; 0.18792
 201.60;  321.476;  292.845;  340.403; 0.22039
 202.21;  320.977;  298.995;  352.240; 0.38421
 202.81;  327.637;  303.760;  367.883; 0.42903
 203.41;  341.027;  301.801;  377.921; 0.28793
 204.01;  330.049;  296.447;  373.611; 0.36104
 204.61;  317.247;  287.965;  374.799; 0.47209
 205.21;  308.130;  280.528;  391.328; 0.60360
 205.81;  320.379;  276.000;  394.567; 0.42678
 206.41;  324.136;  281.190;  389.667; 0.40241
 207.01;  330.965;  291.585;  373.516; 0.31817
 207.61;  324.992;  290.832;  349.221; 0.23281
 208.21;  323.535;  294.007;  340.088; 0.19328
 208.81;  328.495;  285.376;  350.048; 0.17605
 209.41;  312.371;  292.971;  355.294; 0.50684
 210.01;  304.886;  286.985;  361.835; 0.62130
 210.61;  300.050;  290.534;  351.990; 0.81011
 211.21;  304.967;  293.399;  356.219; 0.73484
 211.81;  312.703;  300.157;  352.258; 0.61836
 212.41;  301.623;  301.896;  344.513; 5.00000
 213.01;  318.374;  296.332;  351.625; 0.39941
 213.61;  316.750;  285.263;  357.339; 0.35966
 214.21;  321.840;  282.939;  368.411; 0.34186
 214.81;  304.501;  278.704;  361.387; 0.50586
 215.41;  324.430;  282.466;  362.645; 0.28119
 216.01;  327.971;  278.247;  362.189; 0.22741
 216.61;  330.562;  287.920;  357.792; 0.21447
